latent_dim,R_ratio_mean,R_ratio_sd,R_ratio_min,R_ratio_max,R_ratio_cv,effrank_mean,effrank_sd,effrank_min,effrank_max,effrank_cv,PC1_var_mean,PC1_var_sd,PC1_var_min,PC1_var_max,PC1_var_cv,NDC6_rate,NDC6_decision
8,0.5078529448074125,0.06379595056074314,0.39379873425636563,0.6317621641061615,12.561894385575686,8.0,0.0,8.0,8.0,0.0,62.71740442911784,4.573254124555827,53.4677734375,72.84910583496094,7.291842138850696,0.4,UNSTABLE 40%
16,0.5609632977097715,0.046598075491530826,0.4479630313680493,0.6573890305126148,8.306795771091519,15.766666666666667,0.4301830671520764,15.0,16.0,2.7284338297171864,47.60552736918132,4.405547635120382,39.02151870727539,53.09880828857422,9.254277556795703,0.1,UNSTABLE 10%
32,0.5726125211707989,0.03759737411063758,0.4834025775423092,0.653834968170415,6.565936426567073,19.9,0.5477225575051661,19.0,21.0,2.7523746608299806,43.75666427612305,3.0803703498676116,37.39847183227539,48.99116516113281,7.039774171150645,0.03333333333333333,UNSTABLE 3%
