seed,latent_dim,R_ratio,effrank,PC1_var,NDC6_violated
42,8,0.41436490585028257,8,68.00882720947266,True
42,16,0.5950383454385152,16,50.81924819946289,False
42,32,0.5889187509982784,20,38.6969108581543,False
43,8,0.41199973724212563,8,62.73276901245117,True
43,16,0.5992986692776694,16,45.80766677856445,False
43,32,0.5731888939800395,20,45.9304084777832,False
44,8,0.5447398979632273,8,65.50062561035156,False
44,16,0.5781192565171706,16,48.209720611572266,False
44,32,0.5709127162088088,20,42.21031188964844,False
45,8,0.47083105225951016,8,61.996578216552734,True
45,16,0.6182833438636649,16,52.97064208984375,False
45,32,0.553904275184368,20,46.274654388427734,False
46,8,0.4336458967517987,8,65.32150268554688,True
46,16,0.6182455056006665,16,52.87931442260742,False
46,32,0.5647573697295951,20,43.86762237548828,False
47,8,0.43769280415358164,8,67.76383209228516,True
47,16,0.5523817761965294,16,53.09880828857422,False
47,32,0.5983700182173622,20,46.769508361816406,False
48,8,0.5483170658109633,8,57.617164611816406,False
48,16,0.5264427991078908,16,47.962467193603516,False
48,32,0.5455526815101555,20,39.294898986816406,False
49,8,0.5735772925171094,8,68.89936065673828,False
49,16,0.5514720733254128,16,49.434635162353516,False
49,32,0.5779538710162944,19,46.13360595703125,False
50,8,0.45163728333410424,8,64.955810546875,True
50,16,0.5141124606146301,16,48.923641204833984,False
50,32,0.550109064846293,20,37.673797607421875,False
51,8,0.5553662239361139,8,61.347434997558594,False
51,16,0.5387692738328709,15,45.22768020629883,False
51,32,0.6003485691954595,19,43.41973114013672,False
52,8,0.5401253581323084,8,59.024845123291016,False
52,16,0.6189244426596505,16,44.330657958984375,False
52,32,0.5493224004327183,20,39.49279022216797,False
53,8,0.5783932335043124,8,72.84910583496094,False
53,16,0.605863841113864,16,39.02151870727539,False
53,32,0.5502797197195524,20,40.256752014160156,False
54,8,0.45282732263878034,8,64.08795166015625,True
54,16,0.5444525216404568,15,40.49140548706055,False
54,32,0.511402502147595,20,46.92176818847656,False
55,8,0.6317621641061615,8,61.697757720947266,False
55,16,0.5841125451121124,16,41.30695343017578,False
55,32,0.548979663017242,20,45.20953369140625,False
56,8,0.5200061855239765,8,67.80879211425781,False
56,16,0.527621637599209,16,51.45867919921875,False
56,32,0.5907637102161324,21,46.20343017578125,False
57,8,0.5452463498133896,8,53.4677734375,False
57,16,0.5435741416435625,16,49.84284591674805,False
57,32,0.5806360125243131,20,45.10676574707031,False
58,8,0.4997097094818263,8,66.10421752929688,True
58,16,0.6573890305126148,16,48.217288970947266,False
58,32,0.5614541130699168,20,41.858787536621094,False
59,8,0.4158669102476934,8,56.855751037597656,True
59,16,0.49934179309556737,16,39.68597412109375,True
59,32,0.5609458812235416,19,44.468082427978516,False
60,8,0.5378002073401409,8,66.4131851196289,False
60,16,0.5621105097061234,15,52.409385681152344,False
60,32,0.5804737545957308,21,45.49979782104492,False
61,8,0.43457168274108504,8,56.74609375,True
61,16,0.5495481172916904,16,48.81588363647461,False
61,32,0.5504917200084573,20,43.43522644042969,False
62,8,0.5429142789638578,8,63.81373977661133,False
62,16,0.5589746219039082,16,48.209232330322266,False
62,32,0.653834968170415,19,48.99116516113281,False
63,8,0.5154661215236324,8,53.48488235473633,False
63,16,0.4508251554619649,16,51.19088363647461,True
63,32,0.6151019227328703,20,46.478275299072266,False
64,8,0.5158180052271921,8,60.68922805786133,False
64,16,0.5473433638597546,16,43.032447814941406,False
64,32,0.4834025775423092,20,40.832313537597656,True
65,8,0.4489083191425455,8,65.71331787109375,True
65,16,0.6165222510860277,15,51.46696090698242,False
65,32,0.5183888316824643,20,44.92224884033203,False
66,8,0.5634731393531364,8,61.726104736328125,False
66,16,0.5799220534505961,15,51.54897689819336,False
66,32,0.5962623364770764,21,44.74751663208008,False
67,8,0.5616525969680737,8,62.836700439453125,False
67,16,0.5542395027328361,16,50.4071159362793,False
67,32,0.5485313706358481,19,44.92470169067383,False
68,8,0.5658902628875954,8,61.015838623046875,False
68,16,0.5605931482156,15,43.30824661254883,False
68,32,0.6525713473386122,20,42.78797912597656,False
69,8,0.39379873425636563,8,59.87174606323242,True
69,16,0.4479630313680493,16,49.511451721191406,True
69,32,0.5652648822651993,20,47.831363677978516,False
70,8,0.5890533620521177,8,65.25888061523438,False
70,16,0.5664259137666886,15,49.41441345214844,False
70,32,0.6142506848076709,19,37.39847183227539,False
71,8,0.5401322404993644,8,57.912315368652344,False
71,16,0.5609878052978486,16,39.16167449951172,False
71,32,0.6220010256296452,20,45.06150817871094,False
